year,level,course,sex,enrolment_preu
2016,Junior College 1,Arts,MF,2443
2016,Junior College 1,Arts,F,1732
2016,Junior College 1,Science,MF,11679
2016,Junior College 1,Science,F,5881
2016,Junior College 2,Arts,MF,2314
2016,Junior College 2,Arts,F,1620
2016,Junior College 2,Science,MF,10805
2016,Junior College 2,Science,F,5417
2016,Pre-University 1,Arts,MF,131
2016,Pre-University 1,Arts,F,96
2016,Pre-University 1,Commerce,MF,182
2016,Pre-University 1,Commerce,F,110
2016,Pre-University 1,Science,MF,167
2016,Pre-University 1,Science,F,88
2016,Pre-University 2,Arts,MF,75
2016,Pre-University 2,Arts,F,56
2016,Pre-University 2,Commerce,MF,132
2016,Pre-University 2,Commerce,F,79
2016,Pre-University 2,Science,MF,129
2016,Pre-University 2,Science,F,72
2016,Pre-University 3,Arts,MF,81
2016,Pre-University 3,Arts,F,66
2016,Pre-University 3,Commerce,MF,164
2016,Pre-University 3,Commerce,F,98
2016,Pre-University 3,Science,MF,140
2016,Pre-University 3,Science,F,54
2017,Junior College 1,Arts,MF,2427
2017,Junior College 1,Arts,F,1684
2017,Junior College 1,Science,MF,12411
2017,Junior College 1,Science,F,6271
2017,Junior College 2,Arts,MF,2278
2017,Junior College 2,Arts,F,1610
2017,Junior College 2,Science,MF,11003
2017,Junior College 2,Science,F,5491
2017,Pre-University 1,Arts,MF,147
2017,Pre-University 1,Arts,F,100
2017,Pre-University 1,Commerce,MF,206
2017,Pre-University 1,Commerce,F,120
2017,Pre-University 1,Science,MF,182
2017,Pre-University 1,Science,F,109
2017,Pre-University 2,Arts,MF,88
2017,Pre-University 2,Arts,F,72
2017,Pre-University 2,Commerce,MF,116
2017,Pre-University 2,Commerce,F,70
2017,Pre-University 2,Science,MF,123
2017,Pre-University 2,Science,F,63
2017,Pre-University 3,Arts,MF,65
2017,Pre-University 3,Arts,F,49
2017,Pre-University 3,Commerce,MF,114
2017,Pre-University 3,Commerce,F,69
2017,Pre-University 3,Science,MF,92
2017,Pre-University 3,Science,F,51
2018,Junior College 1,1,MF,2302
2018,Junior College 1,1,F,1589
2018,Junior College 1,2,MF,11720
2018,Junior College 1,2,F,5851
2018,Junior College 2,1,MF,2267
2018,Junior College 2,1,F,1583
2018,Junior College 2,2,MF,11811
2018,Junior College 2,2,F,5943
2018,Pre-University 1,1,MF,80
2018,Pre-University 1,1,F,49
2018,Pre-University 1,2,MF,175
2018,Pre-University 1,2,F,96
2018,Pre-University 1,4,MF,121
2018,Pre-University 1,4,F,72
2018,Pre-University 2,1,MF,78
2018,Pre-University 2,1,F,58
2018,Pre-University 2,2,MF,135
2018,Pre-University 2,2,F,75
2018,Pre-University 2,4,MF,145
2018,Pre-University 2,4,F,83
2018,Pre-University 3,1,MF,50
2018,Pre-University 3,1,F,41
2018,Pre-University 3,2,MF,65
2018,Pre-University 3,2,F,31
2018,Pre-University 3,4,MF,63
2018,Pre-University 3,4,F,32
2019,Junior College 1,1,MF,2167
2019,Junior College 1,1,F,1518
2019,Junior College 1,2,MF,11129
2019,Junior College 1,2,F,5623
2019,Junior College 2,1,MF,2122
2019,Junior College 2,1,F,1477
2019,Junior College 2,2,MF,11234
2019,Junior College 2,2,F,5565
2019,Pre-University 1,1,MF,68
2019,Pre-University 1,1,F,48
2019,Pre-University 1,2,MF,212
2019,Pre-University 1,2,F,126
2019,Pre-University 1,4,MF,70
2019,Pre-University 1,4,F,49
2019,Pre-University 2,1,MF,48
2019,Pre-University 2,1,F,27
2019,Pre-University 2,2,MF,121
2019,Pre-University 2,2,F,65
2019,Pre-University 2,4,MF,95
2019,Pre-University 2,4,F,50
2019,Pre-University 3,1,MF,61
2019,Pre-University 3,1,F,48
2019,Pre-University 3,2,MF,88
2019,Pre-University 3,2,F,46
2019,Pre-University 3,4,MF,117
2019,Pre-University 3,4,F,69
2020,Junior College 1,1,MF,1998
2020,Junior College 1,1,F,1405
2020,Junior College 1,2,MF,10604
2020,Junior College 1,2,F,5160
2020,Junior College 2,1,MF,2037
2020,Junior College 2,1,F,1441
2020,Junior College 2,2,MF,10586
2020,Junior College 2,2,F,5320
2020,Pre-University 1,1,MF,66
2020,Pre-University 1,1,F,45
2020,Pre-University 1,2,MF,234
2020,Pre-University 1,2,F,132
2020,Pre-University 1,4,MF,46
2020,Pre-University 1,4,F,28
2020,Pre-University 2,1,MF,49
2020,Pre-University 2,1,F,33
2020,Pre-University 2,2,MF,114
2020,Pre-University 2,2,F,70
2020,Pre-University 2,4,MF,57
2020,Pre-University 2,4,F,36
2020,Pre-University 3,1,MF,40
2020,Pre-University 3,1,F,24
2020,Pre-University 3,2,MF,91
2020,Pre-University 3,2,F,45
2020,Pre-University 3,4,MF,83
2020,Pre-University 3,4,F,44
